Date,Description,Debit Amt,Credit Amt,Balance
01-08-2024,Salary Credit XYZ Pvt Ltd,1935.3,,6864.58
02-08-2024,Salary Credit XYZ Pvt Ltd,,1652.61,8517.19
03-08-2024,IMPS UPI Payment Amazon,3886.08,,4631.11
03-08-2024,Mobile Recharge Via UPI,,1648.72,6279.83
14-08-2024,Fuel Purchase Debit Card,,3878.57,10158.4
17-08-2024,Electricity Bill NEFT Online,,1963.11,12121.51
18-08-2024,Interest Credit Saving Account,596.72,,11524.79
25-08-2024,Cheque Deposit Local Clearing,617.86,,10906.93
27-08-2024,Fuel Purchase Debit Card,,2650.96,13557.89
01-09-2024,Dining Out Card Swipe,,656.42,14214.31
08-09-2024,Mobile Recharge Via UPI,4150.96,,10063.35
12-09-2024,Cheque Deposit Local Clearing,,826.71,10890.06
16-09-2024,Fuel Purchase Debit Card,,3148.44,14038.5
16-09-2024,Credit Card Payment ICICI,1629.34,,12409.16
20-09-2024,NEFT Transfer To ABC Ltd,,4275.77,16684.93
25-09-2024,Salary Credit XYZ Pvt Ltd,,2507.17,19192.1
26-09-2024,IMPS UPI Payment Amazon,,740.64,19932.74
03-10-2024,EMI Auto Debit HDFC Bank,,2516.44,22449.18
06-10-2024,Utility Bill Payment Electricity,4208.51,,18240.67
07-10-2024,Service Charge GST Debit,,3593.89,21834.56
09-10-2024,Cash Deposit Branch Counter,,3215.04,25049.6
12-10-2024,IMPS UPI Payment Amazon,,4098.72,29148.32
15-10-2024,UPI QR Payment Groceries,3713.69,,25434.63
22-10-2024,Salary Credit XYZ Pvt Ltd,4182.2,,21252.43
23-10-2024,UPI QR Payment Groceries,3615.84,,17636.59
26-10-2024,EMI Auto Debit HDFC Bank,1006.21,,16630.38
04-11-2024,Service Charge GST Debit,756.93,,15873.45
04-11-2024,Cash Deposit Branch Counter,,622.18,16495.63
06-11-2024,Cash Deposit Branch Counter,3777.56,,12718.07
07-11-2024,Fuel Purchase Debit Card,2986.0,,9732.07
11-11-2024,UPI QR Payment Groceries,,3116.44,12848.51
14-11-2024,Utility Bill Payment Electricity,320.12,,12528.39
14-11-2024,Electricity Bill NEFT Online,,3079.38,15607.77
19-11-2024,NEFT Transfer To ABC Ltd,4925.74,,10682.03
21-11-2024,Cheque Deposit Local Clearing,,515.93,11197.96
26-11-2024,Fuel Purchase Debit Card,,4319.32,15517.28
01-12-2024,Fuel Purchase Debit Card,,821.75,16339.03
04-12-2024,Cheque Deposit Local Clearing,2939.04,,13399.99
07-12-2024,Dining Out Card Swipe,,2177.58,15577.57
13-12-2024,Cash Deposit Branch Counter,1210.14,,14367.43
17-12-2024,IMPS UPI Payment Amazon,,1683.84,16051.27
18-12-2024,Cash Deposit Branch Counter,4706.8,,11344.47
24-12-2024,Cheque Deposit Local Clearing,,1359.0,12703.47
27-12-2024,NEFT Transfer From PQR Pvt,4678.02,,8025.45
01-01-2025,UPI QR Payment Groceries,,2447.81,10473.26
05-01-2025,UPI QR Payment Groceries,270.87,,10202.39
15-01-2025,NEFT Transfer From PQR Pvt,3782.46,,6419.93
23-01-2025,Credit Card Payment ICICI,,426.36,6846.29
27-01-2025,Service Charge GST Debit,4332.26,,2514.03
27-01-2025,Fuel Purchase Debit Card,,1533.65,4047.68
30-01-2025,UPI QR Payment Groceries,,4960.86,9008.54
02-02-2025,IMPS UPI Payment Amazon,,2693.97,11702.51
14-02-2025,Online Card Purchase Flipkart,,737.74,12440.25
21-02-2025,Dining Out Card Swipe,3973.65,,8466.6
24-02-2025,IMPS UPI Payment Amazon,,1998.34,10464.94
24-02-2025,Salary Credit XYZ Pvt Ltd,,1611.68,12076.62
01-03-2025,Credit Card Payment ICICI,4509.03,,7567.59
02-03-2025,Dining Out Card Swipe,,2922.99,10490.58
10-03-2025,Interest Credit Saving Account,,187.17,10677.75
12-03-2025,IMPS UPI Payment Amazon,741.32,,9936.43
13-03-2025,Insurance Premium Auto Debit,,2881.87,12818.3
18-03-2025,Interest Credit Saving Account,884.31,,11933.99
21-03-2025,ATM Cash Withdrawal India,189.74,,11744.25
31-03-2025,Insurance Premium Auto Debit,3183.71,,8560.54
01-04-2025,Dining Out Card Swipe,1786.81,,6773.73
10-04-2025,Fuel Purchase Debit Card,,3455.33,10229.06
10-04-2025,Salary Credit XYZ Pvt Ltd,3130.96,,7098.1
12-04-2025,Insurance Premium Auto Debit,827.09,,6271.01
16-04-2025,Dining Out Card Swipe,,4890.35,11161.36
19-04-2025,Online Card Purchase Flipkart,2634.0,,8527.36
22-04-2025,Credit Card Payment ICICI,,4168.32,12695.68
25-04-2025,Salary Credit XYZ Pvt Ltd,,4183.97,16879.65
27-04-2025,IMPS UPI Transfer Paytm,4087.04,,12792.61
28-04-2025,IMPS UPI Transfer Paytm,363.47,,12429.14
05-05-2025,NEFT Transfer From PQR Pvt,,22.16,12451.3
17-05-2025,Salary Credit XYZ Pvt Ltd,1863.31,,10587.99
21-05-2025,Fuel Purchase Debit Card,4526.6,,6061.39
31-05-2025,Dining Out Card Swipe,2583.14,,3478.25
01-06-2025,Salary Credit XYZ Pvt Ltd,4044.7,,-566.45
01-06-2025,Salary Credit XYZ Pvt Ltd,2617.5,,-3183.95
07-06-2025,Dining Out Card Swipe,,3077.91,-106.04
08-06-2025,Electricity Bill NEFT Online,,3949.78,3843.74
10-06-2025,Utility Bill Payment Electricity,4567.77,,-724.03
18-06-2025,Utility Bill Payment Electricity,1980.53,,-2704.56
18-06-2025,Interest Credit Saving Account,,4805.82,2101.26
21-06-2025,Electricity Bill NEFT Online,,395.05,2496.31
26-06-2025,Online Card Purchase Flipkart,,1263.09,3759.4
27-06-2025,ATM Cash Withdrawal India,4944.55,,-1185.15
30-06-2025,Interest Credit Saving Account,150.91,,-1336.06
05-07-2025,IMPS UPI Payment Amazon,,4883.29,3547.23
06-07-2025,Interest Credit Saving Account,1248.14,,2299.09
08-07-2025,Online Card Purchase Flipkart,4029.62,,-1730.53
14-07-2025,Mobile Recharge Via UPI,380.91,,-2111.44
16-07-2025,ATM Cash Withdrawal India,,4630.04,2518.6
19-07-2025,NEFT Transfer From PQR Pvt,1581.69,,936.91
20-07-2025,Utility Bill Payment Electricity,,2989.23,3926.14
23-07-2025,Salary Credit XYZ Pvt Ltd,,2988.46,6914.6
24-07-2025,Electricity Bill NEFT Online,2917.52,,3997.08
25-07-2025,Salary Credit XYZ Pvt Ltd,566.32,,3430.76
27-07-2025,ATM Cash Withdrawal India,,2156.01,5586.77
